"","PID","crt","aq","rgpts","eq","mean_suspicion_rating","age","gender","ed_lev","lie_prop_redpick","dprime","beta","hitrate","farate","acc","n_lied_self","tp","fp","subject_lostTRUE","subject_liedTRUE","normed_signed_e_v","normed_unsigned_e_v","dprime_art","beta_art","hitrate_art","farate_art","acc_art"
"1","55b424e1fdf99b526efcf8d0",2,0.1,0.111111111,5.090909091,3.011111111,39,0,2,0.945454545454545,1.16514273415232,0.824825679633489,0.772727272727273,0.338235294117647,0.688888888888889,52,17,23,0.0316914821578131,0.0529397674166858,0.0254824671315981,0.603394841909228,1.58158635750989,2.42814142482865,0.590909090909091,0.0882352941176471,0.833333333333333
"2","56210effed6e5a000ac7f3a5",4,0.2,1.777777778,5.181818182,4.544444444,38,0,5,1,1.15942488561983,0.233598083053081,0.966666666666667,0.75,0.488888888888889,56,29,45,0,-0.0166232643849595,0.791168845341498,-0.205642918722253,1.63517212934483,1.61511933130636,0.7,0.133333333333333,0.811111111111111
"3","57313ba2070de6000f43384e",3,0.6,1.944444444,4.954545455,2.244444444,38,1,1,0.382978723404255,0.899331329128698,4.57793549989107,0.107142857142857,0.0161290322580645,0.711111111111111,19,3,1,0.0340625039564014,0,0.139709893058243,0.18571154134633,1.42352058528695,1.63565852862071,0.642857142857143,0.145161290322581,0.788888888888889
"4","583accd26ab9a70001e2b5a7",2,0.2,0.666666667,4.409090909,2.333333333,49,1,2,0,0,0,0,0,0.711111111111111,0,0,0,0.0160660873035865,0,0.343227050816552,0.500459204596911,1.01789561561356,1.24535953612557,0.615384615384615,0.234375,0.722222222222222
"5","59430640f154200001b509d0",2,0,2.111111111,5.727272727,2.7,48,1,3,0.344827586206897,0.949505800917644,1.67106179832341,0.473684210526316,0.154929577464789,0.766666666666667,23,9,11,0.327429062885517,0.0207008582713921,0.0308822390362833,0.469128716274605,2.00901865066316,2.10661709842158,0.736842105263158,0.0845070422535211,0.877777777777778
"6","5a455b091950a80001e7c49a",1,0.2,0.555555556,4.818181818,1.977777778,40,1,3,0.5,0,0,0.125,0,0.844444444444444,23,2,0,-0.0137249068303294,-0.00339470869206998,0.445824863518226,0.0452517086535949,1.63162084293775,2.2505950770339,0.625,0.0945945945945946,0.855555555555556
"7","5ac7a7f1f69e940001d999a7",3,0.2,0.5,4.227272727,3.222222222,56,1,6,1,1.72291010879518,0.249005963754746,0.952380952380952,0.478260869565217,0.622222222222222,52,20,33,0,-0.285332354643562,0.857610076380507,-0.0626396759809479,1.66271783199481,2.40739271455523,0.619047619047619,0.0869565217391304,0.844444444444444
"8","5af196e1e1b5b8000148ac76",2,0.4,2.5,5.136363636,3.077777778,31,0,9,0.408163265306122,1.65275160374936,1.70821309666685,0.692307692307692,0.125,0.822222222222222,20,18,8,-0.0229927663108915,-0.00538941283611497,0.0269106943714362,0.815422698263515,1.37089679916147,1.71169417373763,0.615384615384615,0.140625,0.788888888888889
"9","5afc4671bb36f900018ef1fe",4,0.3,1.611111111,5.045454545,2.811111111,33,0,3,0,1.43757425093992,1.41055731205606,0.684210526315789,0.169014084507042,0.8,0,13,12,0.0405859634551087,0,0.684605432577685,0.283930356367508,1.20785038252136,1.91500240872068,0.526315789473684,0.126760563380282,0.8
"10","5b98d9362cca9c0001de161f",4,0.1,0.055555556,5.772727273,2.677777778,49,0,5,0.918367346938776,1.22851363052856,1.16667099154858,0.6875,0.22972972972973,0.755555555555556,46,11,17,0.00181220734154478,6.85414552996507e-05,0.613231853246519,0.387347957412081,1.3696645307016,1.3080411981344,0.6875,0.189189189189189,0.788888888888889
"11","5c47408447aa7b000107b7d7",2,0.8,1.055555556,4.318181818,3.244444444,42,1,5,0.491525423728814,0.29255037095229,1.06211597317073,0.476190476190476,0.36231884057971,0.6,30,10,25,-0.0553592973398917,0.265128748876249,0.318130011749146,-0.0370046414369465,1.36954161617236,1.41612342724654,0.666666666666667,0.173913043478261,0.788888888888889
"12","5c6d6d3481e1d50001627409",1,0.1,0.222222222,5.909090909,1.711111111,47,1,3,0,0.413391897902188,1.57736313355569,0.185185185185185,0.0952380952380952,0.688888888888889,0,5,6,-0.290619766113526,0,0.422463703092356,-0.00964348425434284,1.26707607361788,2.10413255086074,0.518518518518518,0.111111111111111,0.777777777777778
"13","5c7af38b670f87001746df79",0,0.2,0.666666667,5.636363636,3.2,26,1,2,0.942307692307692,-0.509757679521088,0.82441897743816,0.263157894736842,0.450704225352113,0.488888888888889,49,5,32,0.00357341107772871,-0.0128999943313423,0.530311746099224,-0.660806723605675,2.00901865066316,2.10661709842158,0.736842105263158,0.0845070422535211,0.877777777777778
"14","5cd5fe480f0de600018e7251",1,0.3,2.722222222,4.681818182,2.6,28,1,3,0.679245283018868,0,0,0,0.0941176470588235,0.855555555555556,37,0,8,0.00920798639885453,-0.00471542846494724,0.575520527032784,0.312776311125754,0.875829054571998,1.83203435761771,0.4,0.129411764705882,0.844444444444444
"15","5ce96c839faf7d0001daf0e6",3,0.4,2.555555556,4.636363636,1.988888889,49,1,4,0,0,0,0,0,0.811111111111111,2,0,0,0.0603386335264776,0.0015186913868981,0.0308760016860412,0.0701248605275992,0.551964237866894,1.3170898022116,0.411764705882353,0.219178082191781,0.711111111111111
"16","5cfb74958f650700151c7df3",1,0.8,3.111111111,3,2.011111111,41,1,5,1,1.2214522820139,2.37242960448576,0.461538461538462,0.09375,0.777777777777778,60,12,6,0,0.0142161403427238,0.578707781982481,0.229522846958004,1.74630608662571,1.26992711098679,0.769230769230769,0.15625,0.822222222222222
"17","5d230886d7533000017a4409",4,0.7,0.722222222,3.454545455,2.355555556,25,0,5,0,1.30754072963858,7.39218854175381,0.19047619047619,0.0144927536231884,0.8,1,4,1,-0.00411909145659965,0.000884053593619914,0.471558913266332,0.169439464618118,2.23588023318545,1.71708782436059,0.80952380952381,0.0869565217391304,0.888888888888889
"18","5d8a1081323cf30001205f53",2,0.1,0.111111111,5.090909091,2.977777778,35,1,2,0.142857142857143,0.498788001884713,1.35934666861339,0.357142857142857,0.193548387096774,0.666666666666667,7,10,12,0.0111368535421312,0.000894879054879641,0.344094034028085,0.0362419239768336,1.19712456525341,1.47857587678018,0.607142857142857,0.17741935483871,0.755555555555556
"19","5d99898ab82ce10398fc1556",0,0.6,0.166666667,5.136363636,2.655555556,24,0,5,0.966666666666667,0.422313811897432,1.45356740665732,0.25,0.136363636363636,0.7,59,6,9,0.36712243587033,-0.00108347225810471,0.00179687452163557,0.148341463913341,1.54560613036686,2.38502531600463,0.583333333333333,0.0909090909090909,0.822222222222222
"20","5da78f61a60c0d0017d6ed89",1,0.4,0.166666667,4.181818182,2.366666667,35,1,6,0,0.603843645167359,1.88495365395438,0.227272727272727,0.0882352941176471,0.744444444444444,3,5,6,0.429206394564137,-0.00246780311542947,-0.0784184723753349,0.0217235339406789,1.9562875865139,2.07671590072644,0.727272727272727,0.0882352941176471,0.866666666666667
