,playAgain,studyPurpose,howMany,concerns,howHonest,yourGoal,goodDetection,understoodTask,othersGoal,uuid
0,1,To investigate how probability of an event affects perception by others upon knowing partial information (ie. without knowing the exact outcome),3,A bit repetitive and it encourages people not to be honest in telling the chosen computer card.,1,Getting the highest reward possible.,5,6,"Some may have been the same, getting the most rewards, but others may have been instructed differently, otherwise it would be hard for people to truthfully select red cards.. knowing they'd likely loose and not gain anything.",561ec90aed6e5a000fc7e8d3
1,1,"To research the situations in which an individual may doubt or trust another person more (if the outcome benefits the individual, they will be less suspicious of the other's honesty, etc.)",0,"Sometimes, it felt that the card selection screen went a bit too fast. ",5,To answer honestly.,3,4,To also answer honestly. Maybe some tried to strategically answer to gain a bonus while appearing honest.,5766d657c8d7b400013782da
2,1,To assess levels of trust versus probabilities.,3,N/A,6,To be honest throughout.,3,6,"Partly to be honest, but to try and make extra credits.",577a3dfd92c50c0001c9488f
3,1,to see the trust placed in other players based on thier choices,3,none,6,to beat the other player,1,5,to beat me,579de4e24d107800016dd926
4,1,to outsmart the other player,3,no,2,to win against my opponent,4,5,to outsmart me,57d4520b49d04a000105ee31
5,1,how trusting a participant is and how this  makes you want to play a trustworthy game,1,most of the rounds the participant chose the same option as me,1,to recieve as many bonus points as possible,4,5,to stop me from recieving bonus points,582f8bbd4cadc80001b0fbd3
6,0,playing game with honest intentions,1,none,3,trying to win,3,4,winning at all cost,58d107ff2fc72000011f8d0e
7,1,To see how much people trust others ,0,No,6,To win points,2,5,To win points,5980c9688ab70c000158dbb9
8,1,To see whether people were honest in identifying the Colour chosen by the computer,10,No,2,To get points,4,5,To gain points,59c53f8046f7210001906692
9,1,To see how honest people were,3,I thought the sliding scale of honest and dishonest was probably unecessary,6,to be honest,1,6,to win money,59c558114374e1000125c522
10,1,Probability against the perceived honesty of the other participant reporting the correct answer,1,No concerns,6,Reporting the true colour that was selected and determining the honesty of the other participant considering probability of that actually ocurring,4,5,Reporting the card colour that was randomly selected,59d4b503e59146000112e521
11,0,to test peoples honesty,1,no,6,just to play,3,5,to play the game,59d739e08fd07a0001841fe1
12,1,To see how honest people are,30,no,0,To gain more money through the bonus,5,6,To gain more money,5a0482efdf3fa800015c3374
13,0,see who cheats?,3,no,5,pick the computer picked card,5,5,not really sure,5a69128313898300014baae4
14,1,To tell who would be lieing,1,nope not at all,2,To win the most money,4,5,The same thing as me,5adbd63ae0feeb0001ca9865
15,1,to see if the opponent being dishonest made me be dishonest,0,none,2,to win and fathom their strategy,3,5,to win and make me trust them,5b7877430aeff10001f1b162
16,0,"To see how honest a person tends to see other people, given the same choices, when compared to the person's own honesty.",0,"It was exhausting to do so many, tiring to the brain. I had to really focus to keep my attention fixed on the task. My suggestion is to keep the image of the set of cards up throughout each trial, so less brain energy is used to have to remember what the set of cards looked like for that trial (i.e. how much blue vs. how much red).",6,Be honest and accurate.,4,6,Try to make as much bonus points as possible without getting caught.,5be8a35333f40a00010333c4
17,1,To see how we make devisions,108,No,6,To earn bonus,1,6,to earn bonus,5c6ef67ca9317a00011ff088
18,1,honesty and reward,3,no,0,make as much bonus as possible,3,6,make money,5c747244f33ac60001b7a9e2
19,1,to see if your view of the honesty of person related to probability of getting each card,1,no,4,mainly repeat what computer reported,3,6,win but make any dishonesty less obvious,5c9034a2eedbd9001573ca14
20,1,Not sure. ,13,no,4,to have fun,3,4,"Their goal was to win
",5cd44529e0aa560001252901
21,1,to see if people alter their behaviour if they think other participant is playing badly,1,no,6,to guess correctly,3,4,to guess correctly,5cdff2a3ec6e1e001b40ea7d
22,1,To see how trust differs when outcomes with different likelihoods are recording,3,No,6,To give honest responses,5,6,To give honest responses,5ce45c591bf7c90001505825
23,0,"To see if people will lie as a result of a monetary value being put on the blue colour. People see money and of course they will go towards it, no matter how little.",3,"No concerns. Interesting concept, I enjoyed it. Putting a monetary value on the colour you choose and winning or losing made it obvious what people were going to do and it played out exactly as expected. A concern could be that you should state the monetary value after the completion of the games but that obviously goes against the goal of the study.",6,Be truthful and play the game as intended. Monetary value defeats the point of following the in instructions and seeing how it all plays out.,4,6,Maximise their income. Nothing else to it based off what their choices were. ,5d39a06d60e449001eff2b0f
24,1,to test our honesty,0,no,1,make money,4,6,playing the game and money,5d4a7036c068b4001d0beebe
