"","index","PID","n_red","outcome","col_reported","col_picked","pp_lied","RT_rating","win_lose_tie","suspicion_rating","trial","n_blue","e_v","normed_signed_e_v","normed_unsigned_e_v","cs_signed_e_v","normed_cs_signed_e_v","cs_unsigned_e_v","normed_cs_unsigned_e_v","n_reported_colour_opp","n_consec_colour","normed_signed_colour_count","normed_unsigned_colour_count","outcome_same_as_pick","subject_lied","t_cond","signed_n_consec_colour","suspicion","lied","subj_red_pick"
"1",0,"561ec90aed6e5a000fc7e8d3",6,1,-1,-1,TRUE,4424,"loss",0.6,1,1,0.857142857142857,1,1,0.857142857142857,0.0662983425414365,0.857142857142857,0.0355029585798817,1,1,0.272727272727273,0.2,FALSE,FALSE,6,1,TRUE,FALSE,TRUE
"2",1,"561ec90aed6e5a000fc7e8d3",5,1,1,-1,TRUE,3942,"tie",0.4,2,2,0.714285714285714,0.916666666666667,0.857142857142857,1.57142857142857,0.0939226519337017,1.57142857142857,0.0502958579881657,2,2,0.363636363636364,0.3,FALSE,TRUE,5,2,TRUE,TRUE,TRUE
"3",2,"561ec90aed6e5a000fc7e8d3",5,1,1,-1,TRUE,2781,"tie",0.6,3,2,0.714285714285714,0.916666666666667,0.857142857142857,2.28571428571429,0.121546961325967,2.28571428571429,0.0650887573964497,3,3,0.454545454545455,0.4,FALSE,TRUE,5,3,TRUE,TRUE,TRUE
"4",3,"561ec90aed6e5a000fc7e8d3",5,-1,1,1,FALSE,4358,"win",0.4,4,2,-0.285714285714286,0.333333333333333,0.428571428571429,2,0.110497237569061,2.57142857142857,0.0710059171597633,1,1,0.0909090909090909,0.2,FALSE,FALSE,-5,-1,FALSE,FALSE,FALSE
"5",4,"561ec90aed6e5a000fc7e8d3",1,1,1,1,FALSE,3164,"tie",0.4,5,6,0.142857142857143,0.583333333333333,0.285714285714286,2.14285714285714,0.116022099447514,2.71428571428571,0.0739644970414201,4,1,0.272727272727273,0.2,TRUE,FALSE,1,1,FALSE,FALSE,FALSE
"6",5,"561ec90aed6e5a000fc7e8d3",5,1,1,-1,TRUE,3149,"tie",0.6,6,2,0.714285714285714,0.916666666666667,0.857142857142857,2.85714285714286,0.143646408839779,3.42857142857143,0.0887573964497042,5,2,0.363636363636364,0.3,FALSE,TRUE,5,2,TRUE,TRUE,TRUE
"7",6,"561ec90aed6e5a000fc7e8d3",1,1,1,1,FALSE,3140,"tie",0.2,7,6,0.142857142857143,0.583333333333333,0.285714285714286,3,0.149171270718232,3.57142857142857,0.0917159763313609,6,3,0.454545454545455,0.4,TRUE,FALSE,1,3,FALSE,FALSE,FALSE
"8",7,"561ec90aed6e5a000fc7e8d3",3,1,1,1,TRUE,2529,"tie",0.2,8,4,0.428571428571429,0.75,0.571428571428572,3.42857142857143,0.165745856353591,4,0.100591715976331,7,4,0.545454545454545,0.5,TRUE,FALSE,3,4,TRUE,FALSE,FALSE
"9",8,"561ec90aed6e5a000fc7e8d3",4,-1,1,1,FALSE,2402,"win",0.4,9,3,-0.428571428571429,0.25,0.571428571428572,3,0.149171270718232,4.42857142857143,0.109467455621302,2,1,0.0909090909090909,0.2,FALSE,FALSE,-4,-1,FALSE,FALSE,FALSE
"10",9,"561ec90aed6e5a000fc7e8d3",3,-1,1,1,FALSE,2953,"win",0.4,10,4,-0.571428571428571,0.166666666666667,0.714285714285714,2.42857142857143,0.12707182320442,5,0.121301775147929,3,2,0,0.3,FALSE,FALSE,-3,-2,FALSE,FALSE,FALSE
