,index,honesty_rating,pp_lied,win_tie_lose,outcome,random_pick_index,reported_col,random_pick_col,n_red,trial,n_blue,e_v,normed_signed_e_v,normed_unsigned_e_v,suspicion_rating,subject_lied,subject_lost,uuid,condition,block,reward_block,prop_blue
0,0,3,True,loss,1,2,-1,red,6,1,1,0.8571428571428572,1.0,1.0,0.5,False,True,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.14285714285714285
1,1,4,True,tie,1,6,1,blue,5,2,2,0.7142857142857143,0.909090909090909,0.8571428571428572,0.33333333333333337,False,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.2857142857142857
2,2,5,False,tie,-1,3,-1,red,5,3,2,-0.2857142857142857,0.2727272727272727,0.4285714285714286,0.16666666666666663,False,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.2857142857142857
3,3,5,False,tie,-1,5,-1,red,6,4,1,-0.1428571428571429,0.3636363636363636,0.2857142857142858,0.16666666666666663,False,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.14285714285714285
4,4,5,False,tie,1,4,1,blue,2,5,5,0.2857142857142857,0.6363636363636362,0.4285714285714286,0.16666666666666663,False,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.7142857142857143
5,5,5,False,win,-1,5,1,red,6,6,1,-0.1428571428571429,0.3636363636363636,0.2857142857142858,0.16666666666666663,True,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.14285714285714285
6,6,5,False,tie,1,6,1,blue,2,7,5,0.2857142857142857,0.6363636363636362,0.4285714285714286,0.16666666666666663,False,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.7142857142857143
7,7,5,True,tie,1,6,1,blue,2,8,5,0.2857142857142857,0.6363636363636362,0.4285714285714286,0.16666666666666663,False,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.7142857142857143
8,8,5,False,tie,-1,2,-1,red,5,9,2,-0.2857142857142857,0.2727272727272727,0.4285714285714286,0.16666666666666663,False,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.2857142857142857
9,9,5,False,tie,-1,1,-1,red,6,10,1,-0.1428571428571429,0.3636363636363636,0.2857142857142858,0.16666666666666663,False,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.14285714285714285
10,10,5,False,tie,1,3,1,blue,2,11,5,0.2857142857142857,0.6363636363636362,0.4285714285714286,0.16666666666666663,False,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.7142857142857143
11,11,1,True,loss,1,2,-1,red,6,12,1,0.8571428571428572,1.0,1.0,0.8333333333333334,False,True,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.14285714285714285
12,12,4,False,win,-1,5,1,red,6,13,1,-0.1428571428571429,0.3636363636363636,0.2857142857142858,0.33333333333333337,True,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.14285714285714285
13,13,2,True,loss,1,4,-1,red,5,14,2,0.7142857142857143,0.909090909090909,0.8571428571428572,0.6666666666666667,False,True,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.2857142857142857
14,14,5,False,win,-1,2,1,blue,2,15,5,-0.7142857142857143,0.0,0.8571428571428572,0.16666666666666663,False,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.7142857142857143
15,15,5,False,tie,-1,0,-1,red,5,16,2,-0.2857142857142857,0.2727272727272727,0.4285714285714286,0.16666666666666663,False,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.2857142857142857
16,16,4,True,win,-1,5,1,blue,4,17,3,-0.4285714285714286,0.1818181818181818,0.5714285714285715,0.33333333333333337,False,False,60b279d6cfddf718d362ebc3,1high_2low,game_block1,high,0.42857142857142855
