,playAgain,yourGoal,studyPurpose,goodDetection,understoodTask,howMany,concerns,howHonest,othersGoal
0,0,to win some money,to see if people can be swayed to dishonesty with money incentive,4,3,2,"repetitive, dull",3,to win some money
1,1,"The ""winnings"" from reporting blue while the other person reported red did not factor into my decisions. It felt like the computer chose red more often than it chose blue for me, but there were more ties than outright wins or losses. So I reported honestly.","To study game theory, especially when there was money at stake. This reminded me of the prisoner's dilemma, where the best outcome for both parties over the long run is to choose the same thing (saying nothing to the police and receiving the same sentence is analogous to reporting the same color card, especially when you don't know what the other person has said).",2,5,10,"It felt as though my sets of seven cards contained more red cards than blue cards, which provided me the opportunity and incentive to be dishonest when the computer selected a red card.",6,"Depending on their backgrounds, some might have been enticed by the proposition of winning extra money by reporting blue even when the computer selected red for them, and hoping that the other players reported red in an honest fashion. "
2,0,"Win money
",incentive in decision making,3,6,1,no,0,different than mine
3,1,To be honest in the hope the other person was too.,To measure probability against trust.,4,4,0,no,5,Hopefully the same and to trust the stranger (me).
4,1,Win the most amount of money.,To test a person's honesty.,3,6,0,N/A,1,"I think there were no other players, but that it was always a computer."
5,0,TO see is someone else was dishonest,Don't know,2,4,3,No ,0,Don't know
6,1,To win the game,"Unsure, something to do with honesty",2,5,2,No,0,To win the game
7,1,I started off being honest and then tried to be strategic and win money,To see if honest people are more likely to assume honesty,2,6,2,No,4,Win money.
8,1,to get a blue card and win,to see if money affects people being dishonest,5,5,2,no,6,to get a blue card and win also
9,0,to win the game,to identify whether you can tell if people are being honest,4,6,5,n/a,3,to win the game
10,1,To try and work out whether the other player was telling the truth or not,To see how status (winner or loser) affects perception of the world.,3,6,1,I had to express an opinion on a balance of probabilities,4,Either the same or a more competitive urge to 'win'
11,1,to get to the end of the study.  I have another appointment,"I dont know,  maybe to investigate cheating in games",2,4,0,no,6,i think I played against the computer.  Not a real person
12,0,to concentrate on which colour card the computer picked,To see if people thought they were being honest,2,6,2,no,6,the same as mine
13,0,JUST TO TRY AND FOLLOW THE INSTRUCTIONS,NO IDEA AT ALL,0,5,1,NO,6,TO FOLLOW THE INSTRUCTIONS
14,0,"I didn't have a goal, just hoped I might win something",To determine honesty,3,4,1,No,6,to win as much cash as possible
15,1,Only picked blue as it meant I could never lose money,"I'm not sure, maybe to see how much they trusted others",4,6,60,No ,0,"Maybe more focused on telling the truth as sometimes they would choose red even though there is no financial benefit, and there is potential for loss by choosing red"
16,0,Keeping concentration ,Don’t know,1,4,2,No,5,To win the game
17,1,mark all the correct colours the computer generated ,"testing patience and how well participants pay attention. testing whether or not a participant will cheat, especially when there is money involved. ",5,5,0,no,6,probably the same as mine - mark the correct colours
